abbr,en,ko
A,Acceleration,
A,Alpha (code),알파(코드)
A,Altitude,고도
A,Amber,
A,Ammeter,
A,Ampere,암페어
A,Angstrom,
A,Area,면적
A,Argon,아르곤
A,Army,
A,Atom,원자
A,Blueprint designation for age,
A,Constant amplitude,불변 진폭
A,Constant frequency,불변 주파수
A,Continuous emission ampere,연속방출 암페어
A,Free stream capture area,자유류 포착 면적
A,Lift curve slope,양력 곡선기울기
A,Speed of sound,음속
A,Wing aspect ratio,날개 가로 세로비
A pneu,Auxiliary pneumatic,
A&AEE,Aeroplane & armament experimental establishment,비행기 및 무장실험 협회
A&CO,Assembly and checkout,조립 및 검사
A&E,Aircraft & engine,항공기 및 엔진
A&E,Architects and engineers,
A&E,Armament and electronics,
A&E,Avionics & electronics,항공전자 및 전자
A&O,Administrative and operating overhead,
A&P,Aircraft and powerplant,항공기 및 동력장치
A&R,Arm and release,무장 및 투하
A-1,Ching Kuo,"전투기 (대만, AIDC) (경국호)"
A-10,Thunderbolt II,"근접 지원기(미, Fairchild Republic)"
A-3,Skywarrior,"폭격기/전자방어기/탱커(미, Douglas)"
A-37,Dragonfly,"미 공군 표준 기본 훈련기 (미, Cessna)"
A-4,Skyhawk,"공격기 (미, MD)"
A-6,Intruder/Prowler,"장거리 공격/폭격기 (미, Grumman)"
A-7,Corsair II,"전술 전투기 (미, Vought)"
A-A R,Air-To-Air Range,공대공 사거리
A-A TR,Air-To-Air Transmit,공대공 송신
A-A(A/A),Air-To-Air,공대공
A-CS,Alignment countdown set,
A-F BRG,Antifriction bearing,
A-FF,Air burst-free fall,
A-G COMM,Air ground communication,공대지 통신
A-G(A/G),Air-TO-Ground,공대지
A-O-I,And-or-invert,
A.M.,Ante meridian (before noon),
A/A,Air to air,공대공
A/A AR,Air-to-air aiming missile,
A/A/IFF,Air-to-air/identification friend or foe,공대공/적아식별
A/AMTS,Avionics armament maintenance training system,항공 전자/무장 정비훈련 시스템
A/ANFE,Anticipated aircraft not fully equipped,부분 장착 예측 항공기
A/AOCP,Anticipated aircraft out of commission for parts,
A/ATR,Air-to-air track,공대공 트랙(궤도)
A/ATR,Air-to-air transmit and receive,
A/B,After burner,후기 연소기
A/B,Afterburner,후기 연소기
A/BE,Airborne equipment,항공탑재 장비
A/C,Air condition,공기 조화
A/C,Aircraft,항공기
A/C GW,Aircraft gross weight,항공기 총무게
A/D,Address/data,
A/D,Analog to Digital,아날로그-디지털(변환)
A/E,Aeroelastic,공탄성의
A/F,Air-to-fuel,
A/F,Air-to-fuel ratio,공연비
A/F,Airframe,기체
A/G,Air-to-ground,공대지
A/G/IFF,Air-to-ground/identification friend or foe,공대지/피아식별
A/GR,Alighting gear,
A/H,Air-to-hydraulic ratio,
A/H,Ampere-Hour,"암페어시, 전기량의 단위"
A/I,Action item,
A/I,Anti-ice,방빙
A/m,Ampere per meter,미터당 암페어
A/P,Airplane,비행기
A/P,Autopilot,"자동 조종장치(비행),"
A/P MCU,Autopilot monitor and control unit,
A/P mon,Autopilot monitor unit,
A/P PI,Autopilot positioning indicator,
A/P tst mn,Autopilot test monitor,
A/P tst pg,Autopilot test programmer,
A/R,Air refuel,공중 급유
A/S,After service,사후관리
A/S,Air speed,대기 속도
A/S,Air-to-surface,공대지
A/S,Air-tow surface,
A/W,Air worthiness,
A/W,All-weather,
A1,"An emission characterized by coded increments of constant frequency and amplitude, often called cw",
A129,Mangusta,"헬리콥터 (이탈리아, Agusta)"
A3,telephony by amplitude modulation,진폭  변조에 의한 전화술
A3TC,Advanced automated air traffic control,첨단 자동 항공교통 관제
A8,Variable Exhaust Nozzle Area,가변 배기 노즐목 면적
AA,Accelerator,가속기
AA,Achieved availability,성취 가용도
AA,Aero analysis,공력 해석
AA,Air abort,공중 임무 포기
AA,Aluminum associate of america,미국 알루미늄 협회
AA,Anti-aircraft,대공(對空)
AAA,Abilene assignment authorization,
AAA,Air force audit agency,
AAA,Airport advisory area,공항 통보 영역
AAA,Anti-aircraft artillery,대공포
AAA,Attitude Awareness Arc,
AAAM,Advanced air-to-air missile,최신
AAAS,American association for Advancement of science,미국 과학 진흥회
AAC,Acquisition advice code,
AAC,Aeronautical administrative control,항공 관리 통제
AAC,Aeronautical advisory council,항공 자문 위원회
AAC,Airline administrative control,항공기 관리 통제
AAC,Alaskan air command,
AAC,Automatic amplitude control,자동 진폭
AACN,Authorized code number,
AACS,Airborne advanced communications system,항공기 탑재 첨단 통신시스템
AACS,Airway and air communication service,항로 및 공중 통신 서비스
AACU,Advanced avionics comsec unit,
AAD,Aircraft assignment directive,항공기 지향성 지시
AAD,Average absolute deviation,
AADC,All-application digital computer,전체 적용 디지털 컴퓨터
AADEOS,Advanced air defense electro optical sensor,첨단 방공 전자 광학 감지기
AAE,Aerospace ancillary equipment,항공기 부수 장비
AAE,Army acquisition executive,육군 획득 집행위원회
AAED,Advanced airborne expendable decoy,첨단항공기 탑재 확장 유인책
AAF,Allied air force,연합 공군
AAF,Army air force,육군 항공대
AAFB,Altus air force base (operational),
AAFB,Auxiliary air force base,보조공군 기지
AAFSS,Advanced aerial fire support system,첨단 공중 발사 지원체계
AAG,Air-to-air gunnery,공대공 기총
AAG,Aircraft adapter group,항공기 어댑터그룹
AAGR,Air-To-Air/Ground,공대공/공대지
AAH,Advanced attack helicopter,차세대 공격용 헬리콥터
AAI,Active air intercept,능동(적) 공중 요격
AAI,Air-to-air identification,공대공 식별
AAIB,A,
AAIB,Aircraft accidents investigation branch,영국 항공기사고 조사위원회
AAIC,Airman assignment instruction code,
AAICP,Air-to-air interrogator control panel,공대공 질문 통제패널
AAL,Actual altitude lost,실고도 손실
AAL,Additional authorized list,추가 인가목록
AAL,Aircraft approach limitation,
AAM,Air To Air Missile,공대공 미사일
AAM Mode,Air To Air Missile Mode,공대공 유도탄 모드
AAMM,Army-navy and manufacturing status manual,육해군 제작 현황지침서
AAN,Advanced airways navigation,첨단 항로 항법
AAN,Aeronautical army and navy,
AAN,Assignment action number,
AAO,Air-to-air operation,공대공 작전
AAOC,Anti aircraft operations center,방공작전센터
AAQ,Automatic acquisition,자동 획득
AAR,Afer action review,
AAR,Air To Air Ranging,공대공 거리 측정
AAR,Air-to-air ranging,공대공 거리 측정
AAR,Air-to-air refuelling,공대공 재급유
AAR,Aircraft accident report,항공기 사고 보고서
AAR,Assignment action reason,
AARS,Automatic altitude-reporting system,자동 고도 통보시스템
AARTS,Ada avionics real-time software,에이다 항공전자 실시간 소프트웨어
AAS,Airport advisory service,공항 조언 서비스
AAS,American astronautical society,미국 항공 협회
AASES,ATA aviation safety exchange system,ATA 항공 안전 변경시스템
AAT,Ammunition/armament tracking,
AATD,Air-to-air target designator,공대공 표적지시기
AATLL,Air-to-air target locator line,
AAU,Audio amplifier units,음성 증폭장치
AAV,Air-to-air visual,공대공 가시
AAV,Armament air vehicle,
AAVS,Aerospace audio-visual service,항공 음성-화면 서비스
AAW,Anti-air warfare,대공전
AAWWS,Airborne adverse weather weapon system,항공기 탑재 전전후 무장
AB,Air base,공군 기지
AB,Air blast,"충격풍, 인공 분사 기류"
AB,Airborne,"공중, 공수, 항공기 탑재"
AB,AMP Absolute ampere,
AB,Auto beacon,자동 비콘
AB,Automatic ballistic,자동 탄도
AB Wg,Air base wing,
AB(A/B),Afterbunner,후기 연소기
ABA,Annual budget authorization,
ABACUS,Advanced battlefield computer Simulation,
ABAL,Abandoned Aircraft,폐기 항공기
ABAL,Automatic ballistics,자동 탄도
Abbr,Abbreviated Technical Order,단축형 기술지시
Abbr,Abbreviation,"약어, 용어"
ABC,Advancing-blade concept (Sikorsky),개량형 깃 개념
ABC,Afterburner control,후기 연소기 연료 제어(기)
ABC,Automatic bass compensation,자동 저음 보상
ABC,Automatic boost control,자동 부스트 제어
ABC,Automatic brightness control,자동 휘도조종
ABCCC,Airborne battlefield command & control center,공중 전장 지휘통제 본부
ABCS,Automatic boresight correlation system,
ABDA,Aircraft battle damage assessment,
ABDR,Aircraft battle damage repair,전시 파손 항공기 수리
ABDR,Aircraft battle damage requirements,
ABDRM,Aircraft battle damage repair manual,전시 파손 항공기 수리교범
ABF,Annular blast flagmentation,환형 폭발 분열
ABI,Asynchronous bus interface,비동기 버스 연동
ABICS,AdA bAsed integrAted control system ada,기본 통합제어 체계
ABILA,Airborne instrument landing approach,항공계기 착륙 접근
ABIS,All-bus instrumentation system,전 버스 계측시스템
ABIT,Abbreviated Built In Test,단축형 자체 진단 시험
ABIT,Airborne imagery transmission,
ABK-SW,Air brake switch,
ABL,Ablate,흡열
ABL,Ablating,"흡열, 흡열 냉각"
ABL,Ablating Material,흡열 재료
ABL,Ablating Nose Cone,흡열 원뿔탄두
ABL,Airborne laser,공중 레이저
ABL,Allocated baseline,개발 기준
ABM,Advanced bill of material,개량형 자재 목록표
ABM,Anti-ballistic missile,대(對) 탄도미사일
ABNL,Abnormal,
ABNL,Abnormal Combustion,이상연소
ABNL,Abnormal Spin,비정상 스핀
ABO,Aviator's breathing oxygen,
ABOM,Abort,"이륙단념, 도중귀환, 비행포기"
ABOM,Aborted Start,시동 중지
ABOM,Aborted Take-off,이륙 중단
ABOM,Above Sea Level,"해면고도, 해면"
ABOM,Assistant base operations manager,
ABP,Afterburner pump,후기 연소기 연료
ABR,Abrasion,"마찰, 마모"
ABR,Abrasive Cloth,연마천
ABR,Abrasive Mat,연마 매트
ABR,Abridge,
ABRES,Advanced ballistic re-entry systems,최신 탄도 재진입시스템
ABRL,Aircraft Boresight Reference Line,항공기 조준선 정렬 기준선
ABRSV,Abrasive,
ABRSV,Abrupt Deceleration Vehicle,급감속 비행체
ABRV,Advanced ballistic re-entry vehicle,
Abs,Absolute,
ABS,Air brake switch,
ABS,Air-brake switch,공중 브레이크스위치
ABS,Anti-skid brake system,미끄럼방지 제동장치
ABS CLG,Absolute Altitude,절대 고도
ABS CLG,Absolute Angular Momentum,절대각 운동량
ABS CLG,Absolute Ceiling,절대상승 한도
ABS CLG,Absolute ceiling,
ABS CLG,Absolute Humidity,절대습도
ABS CLG,Absolute Pressure,절대압력
ABS CLG,Absolute Record,세계기록
ABS CLG,Absolute Temperature,절대온도
ABS CLG,Absolute Viscosity,절대 점도(粘度)
ABS CLG,Absolute Zero,절대 영점
ABS CLG,Absorbent,흡착제
ABS CLG,Absorber,흡수기
ABS CLG,Absorption Watt-meter,흡수 전력계
ABS CLG,Absorptivity,"흡수성, 흡수율"
ABTJ,Afterburning turbojet,후기연소 터보제트
AC,AC Generation,AC 발전
AC,AC generator,교류발전기
AC,AC power,교류전원
AC,AC Power Distribution,AC 전원 분배
AC,Acceptance Check,수락 점검
AC,Actual cost,
AC,Adapter Control,어댑터 조종기
AC,Advanced composite,
AC,Advanced contouring,
AC,Aerodynamic center,공력 중심
AC,Air corps,"육군 항공대, 항공군"
AC,Aircraft commander,
AC,Alternating Current,교류(AC)
AC,Associate contractor,
AC,Avionics computer,항공전자 컴퓨터
AC,Inlet capture area,흡입구 포착 면적
AC&SC,Air command and staff college,공군 지휘관 및 참모 대학
AC&W,Aircraft control and warning,항공기 조종  및 경고
AC-ACM,Comptroller office,
AC/DC,AC/DC,전원 패널
AC/DC,Alternating Current/Direct Current,교류/직류
AC/SN,Advance change/study notice,
ACA,Aerospace (or airplane) change Analysis,
ACA,Aerospace change accumulation,
ACA,After contract award,
ACA,Agile combat aircraft,"최신 전투기 개발 계획 (英,獨,伊 공동)"
ACA,Amplifier computer assembly,
ACA,Associate contractor agreements,연합 계약자 합의
ACA,Australian council for aeronautics,오스트렐리아 항공 위원회
ACAD,Advanced computer aided design,ACAD (LMTAS 사용 CAD Tool 이름)
ACAD,Aircraft change analysis drawing,항공기 수정해석 도면
